SN,latitude,longitude,x,y,species,code,dia_cm,height_m,class
113,27.41326584,85.06193014,308401,3033702,Alnus nepalensis,,32,20,3
114,27.41687097,85.06140847,308355,3034102,Anogeissus latifolia,,76,24,3
115,27.4160098,85.06149684,308363,3034007,Bombax ceiba,,61,25,2
116,27.41007012,85.05365151,307577,3033361,Cedrela toona,,60,24,2
117,27.40965551,85.05212663,307425,3033317,Dalbergia sissoo,,31,23,3
118,27.41248379,85.07081913,309278,3033602,Eugenia Jambolana,,70,30,4
119,27.41328463,85.0665944,308862,3033697,Hymenodictyon excelsum,,73,21,1
120,27.4099697,85.05328086,307540,3033350,Lagerstroemia parviflora,,81,17,4
121,27.41172875,85.0569719,307908,3033539,Michelia champaca,,39,27,2
122,27.41314485,85.06964013,309163,3033677,Pinus roxburghii,,64,26,2
123,27.40894103,85.05389908,307599,3033235,Pinus wallichiana,,97,21,3
124,27.41133114,85.05922761,308130,3033492,Quercus spp,,47,16,1
125,27.41230041,85.06815332,309014,3033585,Schima wallichii,,10,30,3
126,27.4137431,85.0650782,308713,3033750,Shorea robusta,,91,16,2
127,27.41446868,85.07120623,309320,3033821,Terminalia alata,,57,19,1
128,27.41110001,85.0671236,308911,3033454,Trewia nudiflora,,76,24,3
129,27.40994376,85.07026547,309219,3033321,Tsuga spp,,20,21,4
130,27.41124945,85.06549912,308750,3033473,Terai spp,,30,22,2
131,27.41227197,85.06263554,308469,3033591,Hill spp,,97,19,1
132,27.41062483,85.05351826,307564,3033422,Abies spp,,91,20,2
133,27.41334484,85.06123599,308332,3033712,Acacia catechu,,36,19,3
134,27.41124263,85.05550701,307762,3033488,Adina cardifolia,,45,27,1
135,27.41409076,85.07077053,309276,3033780,Albizia spp,,65,30,4
136,27.41037104,85.05251759,307465,3033396,Alnus nepalensis,,39,16,1
137,27.40876727,85.06442454,308640,3033200,Anogeissus latifolia,,48,30,2
138,27.41300809,85.07212226,309408,3033658,Bombax ceiba,,61,24,1
139,27.40891394,85.06833689,309027,3033210,Cedrela toona,,91,16,3
140,27.41243455,85.07139837,309336,3033595,Dalbergia sissoo,,99,19,1
141,27.41728258,85.06387206,308600,3034144,Eugenia Jambolana,,41,19,3
142,27.40862757,85.06836631,309029,3033178,Hymenodictyon excelsum,,59,20,4
143,27.41330496,85.05993213,308203,3033709,Lagerstroemia parviflora,,16,20,4
144,27.40996376,85.05276233,307488,3033350,Michelia champaca,,66,26,4
145,27.41040451,85.06709391,308906,3033377,Pinus roxburghii,,27,24,2
146,27.41525949,85.06152055,308364,3033923,Pinus wallichiana,,72,24,4
147,27.40931714,85.06404437,308603,3033261,Quercus spp,,82,19,4
148,27.41049824,85.06974077,309168,3033383,Schima wallichii,,84,25,2
149,27.41637805,85.05863441,308080,3034052,Shorea robusta,,19,26,4
150,27.41308635,85.06730704,308932,3033674,Terminalia alata,,19,29,1
151,27.40934834,85.05341516,307552,3033281,Trewia nudiflora,,62,18,3
152,27.41338961,85.06838651,309039,3033706,Tsuga spp,,62,26,1
153,27.4161386,85.06433829,308644,3034016,Terai spp,,96,26,3
154,27.40918999,85.0678396,308978,3033241,Hill spp,,20,22,4
155,27.41448583,85.07009338,309210,3033825,Abies spp,,11,25,2
156,27.41379353,85.06662171,308866,3033753,Acacia catechu,,42,28,2
157,27.41062125,85.05405493,307617,3033421,Adina cardifolia,,84,25,4
158,27.41242549,85.07113533,309310,3033595,Albizia spp,,83,17,2
159,27.41155711,85.06524847,308726,3033507,Alnus nepalensis,,92,22,4
160,27.41761771,85.06181759,308397,3034184,Anogeissus latifolia,,74,19,4
161,27.41360269,85.05939125,308150,3033743,Bombax ceiba,,75,22,1
162,27.41242959,85.07125062,309321,3033595,Cedrela toona,,25,21,2
163,27.41189966,85.05949375,308157,3033554,Abies spp,,67,26,3
164,27.41277161,85.0649006,308694,3033643,Acacia catechu,,25,21,3
165,27.41033697,85.06603564,308802,3033371,Adina cardifolia,,83,29,2
166,27.41506526,85.0597707,308190,3033905,Albizia spp,,54,21,3
167,27.4132218,85.07044986,309243,3033684,Alnus nepalensis,,71,28,1
168,27.40957541,85.05300115,307511,3033307,Anogeissus latifolia,,100,21,4
169,27.41297604,85.0664514,308847,3033663,Bombax ceiba,,74,27,4
170,27.41346416,85.06519859,308724,3033719,Cedrela toona,,31,27,3
171,27.41336301,85.06899952,309100,3033702,Dalbergia sissoo,,82,30,3
172,27.41137402,85.06798612,308996,3033483,Eugenia Jambolana,,66,24,3
173,27.41611856,85.06355909,308567,3034015,Hymenodictyon excelsum,,37,23,1
174,27.41329065,85.06910709,309110,3033694,Lagerstroemia parviflora,,93,15,3
175,27.41606519,85.06077462,308291,3034014,Michelia champaca,,95,19,3
176,27.4167899,85.05985305,308201,3034096,Pinus roxburghii,,83,18,1
177,27.41455884,85.07065889,309266,3033832,Pinus wallichiana,,37,17,4
178,27.41288976,85.05754251,307966,3033667,Quercus spp,,84,27,4
179,27.40993676,85.06580014,308778,3033327,Schima wallichii,,46,24,2
180,27.41108387,85.06863545,309060,3033450,Shorea robusta,,29,19,4
181,27.41577835,85.05868967,308085,3033985,Terminalia alata,,93,29,3
182,27.41079699,85.05485461,307697,3033439,Trewia nudiflora,,48,22,1
183,27.41358489,85.05809244,308022,3033743,Tsuga spp,,37,26,1
184,27.41485508,85.07056098,309257,3033865,Terai spp,,56,17,4
185,27.40968846,85.06634421,308831,3033299,Hill spp,,36,26,2
186,27.41586254,85.0637899,308589,3033987,Abies spp,,58,26,3
187,27.40875602,85.05602343,307809,3033211,Acacia catechu,,39,30,2
188,27.41099161,85.06988183,309183,3033438,Adina cardifolia,,25,16,4
189,27.41779093,85.05991138,308209,3034206,Albizia spp,,53,15,2
190,27.41235879,85.06874569,309073,3033591,Alnus nepalensis,,98,26,2
191,27.41228731,85.07192265,309387,3033578,Anogeissus latifolia,,95,26,3
192,27.41178472,85.06441674,308644,3033534,Bombax ceiba,,60,20,1
193,27.4120037,85.06328528,308533,3033560,Cedrela toona,,25,20,2
194,27.41104033,85.07249243,309441,3033439,Dalbergia sissoo,,76,29,3
195,27.41500162,85.06357614,308566,3033892,Eugenia Jambolana,,38,24,1
196,27.41474467,85.06553299,308760,3033860,Hymenodictyon excelsum,,74,28,3
197,27.41556892,85.06142063,308354,3033958,Lagerstroemia parviflora,,24,29,4
198,27.41249908,85.05680062,307892,3033625,Michelia champaca,,74,16,3
199,27.41577644,85.05706726,307924,3033988,Pinus roxburghii,,67,18,4
200,27.40957974,85.0534925,307560,3033306,Pinus wallichiana,,57,15,3
201,27.41293721,85.06758233,308959,3033657,Quercus spp,,26,18,4
202,27.41157732,85.05577915,307790,3033524,Schima wallichii,,41,18,2
203,27.41413977,85.0618903,308398,3033799,Shorea robusta,,82,28,2
204,27.41227578,85.06212542,308418,3033592,Terminalia alata,,34,16,3
205,27.41619087,85.06158987,308372,3034027,Trewia nudiflora,,93,21,4
206,27.41507048,85.0631527,308525,3033900,Tsuga spp,,19,22,2
207,27.41104404,85.06527821,308728,3033451,Terai spp,,45,26,4
208,27.41452388,85.06810171,309013,3033832,Hill spp,,91,18,3
209,27.41508653,85.06407169,308616,3033900,Abies spp,,98,27,3
210,27.41293872,85.06684556,308886,3033658,Acacia catechu,,40,22,2
211,27.40999148,85.05306888,307519,3033353,Adina cardifolia,,26,27,3
212,27.41126563,85.05725012,307935,3033487,Albizia spp,,20,16,4
213,27.41284975,85.06090329,308298,3033657,Alnus nepalensis,,49,24,1
214,27.40785167,85.06877461,309068,3033091,Anogeissus latifolia,,73,22,3
215,27.40949502,85.0560097,307809,3033293,Bombax ceiba,,70,16,4
216,27.41684514,85.06378933,308591,3034096,Cedrela toona,,97,23,3
217,27.41758929,85.06227147,308442,3034180,Abies spp,,50,30,3
218,27.41829589,85.06167897,308385,3034260,Acacia catechu,,30,23,3
219,27.41406241,85.06534476,308740,3033785,Adina cardifolia,,27,21,1
220,27.41406036,85.06889835,309091,3033779,Albizia spp,,95,18,1
221,27.41056168,85.06932782,309128,3033391,Alnus nepalensis,,59,29,2
222,27.41821031,85.06171826,308388,3034250,Anogeissus latifolia,,10,19,4
223,27.41035661,85.06613833,308812,3033373,Bombax ceiba,,30,27,4
224,27.41788176,85.06139879,308356,3034214,Abies spp,,41,29,4
225,27.4086883,85.06406551,308604,3033191,Acacia catechu,,12,21,2
226,27.41192976,85.06200016,308405,3033554,Adina cardifolia,,100,16,4
227,27.41329984,85.07037622,309236,3033693,Albizia spp,,16,25,3
228,27.41191444,85.05563294,307776,3033562,Alnus nepalensis,,27,20,4
229,27.41271333,85.06999427,309197,3033628,Anogeissus latifolia,,92,15,1
230,27.41373391,85.06735805,308938,3033745,Bombax ceiba,,99,23,1
231,27.40867662,85.06486974,308684,3033189,Cedrela toona,,13,23,2
232,27.41237968,85.07199449,309394,3033588,Dalbergia sissoo,,97,27,2
233,27.40975623,85.05576219,307785,3033323,Eugenia Jambolana,,17,18,1
234,27.4114037,85.06520978,308722,3033491,Hymenodictyon excelsum,,43,20,4
235,27.41171968,85.05568001,307780,3033540,Lagerstroemia parviflora,,39,27,2
236,27.41137935,85.06973697,309169,3033481,Michelia champaca,,69,24,1
237,27.41163424,85.06590899,308791,3033515,Pinus roxburghii,,93,17,1
238,27.41802163,85.06221185,308437,3034228,Pinus wallichiana,,86,24,1
239,27.41296158,85.06709048,308910,3033660,Quercus spp,,37,23,4
240,27.40914666,85.06561511,308758,3033240,Schima wallichii,,21,15,3
241,27.41458245,85.06061999,308273,3033850,Shorea robusta,,76,29,2
242,27.41456739,85.05763063,307978,3033853,Terminalia alata,,11,25,1
243,27.4125801,85.0627647,308482,3033625,Trewia nudiflora,,35,25,4
244,27.41086703,85.07124063,309317,3033422,Tsuga spp,,74,20,1
245,27.41612773,85.06397754,308608,3034016,Terai spp,,54,15,1
246,27.417289,85.06160395,308375,3034148,Hill spp,,72,26,1
247,27.41308362,85.06692582,308894,3033674,Abies spp,,94,20,2
248,27.41472757,85.06866121,309069,3033854,Acacia catechu,,71,22,2
249,27.41294671,85.06784599,308985,3033657,Adina cardifolia,,28,17,4
250,27.41067092,85.05489663,307701,3033425,Albizia spp,,44,30,1
251,27.40954543,85.06489711,308688,3033285,Alnus nepalensis,,47,29,3
252,27.41123501,85.05861161,308069,3033482,Anogeissus latifolia,,29,30,4
253,27.41012571,85.06999,309192,3033342,Bombax ceiba,,13,22,4
254,27.41286038,85.06244778,308451,3033656,Cedrela toona,,25,27,4
255,27.41145894,85.0631557,308519,3033500,Dalbergia sissoo,,82,19,4
256,27.41261539,85.0706571,309263,3033616,Eugenia Jambolana,,82,25,4
257,27.4086727,85.06473016,308670,3033189,Hymenodictyon excelsum,,88,18,4
258,27.41358933,85.06317608,308525,3033736,Lagerstroemia parviflora,,62,25,2
259,27.41717367,85.06380434,308593,3034132,Michelia champaca,,41,28,4
260,27.41548587,85.06301638,308512,3033946,Pinus roxburghii,,74,22,2
261,27.41277929,85.07068985,309266,3033635,Pinus wallichiana,,35,29,2
262,27.41390909,85.0596078,308172,3033777,Quercus spp,,81,25,4
263,27.41334334,85.05709359,307923,3033718,Schima wallichii,,53,18,4
264,27.40932057,85.0550698,307716,3033275,Shorea robusta,,45,23,3
265,27.4080022,85.05723954,307928,3033126,Terminalia alata,,73,24,2
266,27.40948132,85.06417475,308616,3033279,Trewia nudiflora,,73,26,3
267,27.41423117,85.06008314,308220,3033812,Tsuga spp,,59,27,3
268,27.4129932,85.06350978,308556,3033669,Terai spp,,90,23,2
269,27.41385933,85.06418111,308624,3033764,Hill spp,,70,29,2
270,27.41389475,85.0643642,308643,3033768,Abies spp,,57,27,4
271,27.41705912,85.06128711,308344,3034123,Acacia catechu,,65,19,4
272,27.41525353,85.06859596,309063,3033912,Adina cardifolia,,56,21,2
273,27.41140025,85.05685589,307896,3033503,Albizia spp,,38,29,2
274,27.41343257,85.06873685,309074,3033710,Alnus nepalensis,,86,20,4
275,27.41231186,85.06859512,309058,3033586,Anogeissus latifolia,,29,23,3
276,27.41062259,85.06406602,308607,3033406,Bombax ceiba,,41,24,2
277,27.40923709,85.0657138,308768,3033250,Cedrela toona,,76,23,2
278,27.41257759,85.07017846,309215,3033613,Abies spp,,82,16,1
279,27.41273607,85.06439721,308644,3033639,Acacia catechu,,85,16,4
280,27.41083552,85.06608918,308808,3033426,Adina cardifolia,,49,15,2
281,27.4130943,85.07110647,309308,3033669,Albizia spp,,48,23,4
282,27.41006147,85.07044026,309237,3033334,Alnus nepalensis,,100,15,3
283,27.41208084,85.0622241,308428,3033570,Anogeissus latifolia,,42,20,1
284,27.41015101,85.06492294,308691,3033352,Bombax ceiba,,45,23,1
285,27.41518098,85.06192212,308403,3033914,Cedrela toona,,37,17,4
286,27.41640186,85.06259851,308472,3034048,Dalbergia sissoo,,20,25,1
287,27.4114749,85.06372657,308575,3033501,Eugenia Jambolana,,96,22,3
288,27.41170089,85.06294801,308499,3033527,Hymenodictyon excelsum,,12,21,4
289,27.41738678,85.06077965,308294,3034160,Lagerstroemia parviflora,,94,21,1
290,27.40911277,85.06461808,308659,3033238,Michelia champaca,,84,16,2
291,27.4117385,85.07251277,309445,3033516,Pinus roxburghii,,26,16,1
292,27.41023421,85.06741404,308938,3033358,Pinus wallichiana,,73,17,3
293,27.4109093,85.0646949,308670,3033437,Quercus spp,,84,20,3
294,27.4107709,85.06330879,308533,3033423,Schima wallichii,,50,18,2
295,27.41030129,85.06521856,308721,3033368,Shorea robusta,,12,25,1
296,27.40909846,85.05410048,307619,3033252,Terminalia alata,,69,15,4
297,27.41672149,85.06367627,308579,3034082,Trewia nudiflora,,47,18,3
298,27.41509036,85.06269813,308480,3033903,Tsuga spp,,42,30,1
299,27.41127479,85.07042382,309237,3033468,Terai spp,,72,23,4
300,27.41281465,85.06580378,308783,3033646,Hill spp,,11,15,4
301,27.41329796,85.06382514,308588,3033703,Abies spp,,36,26,2
302,27.40976918,85.06878098,309072,3033304,Acacia catechu,,18,17,1
303,27.41407017,85.07136065,309335,3033777,Adina cardifolia,,10,27,3
304,27.41177086,85.05850371,308059,3033542,Albizia spp,,12,20,1
305,27.40858087,85.05735312,307940,3033190,Alnus nepalensis,,50,28,3
306,27.41030559,85.05716958,307925,3033381,Anogeissus latifolia,,86,17,3
307,27.41222156,85.0630524,308510,3033584,Bombax ceiba,,61,25,1
308,27.41352596,85.069303,309130,3033719,Cedrela toona,,47,20,3
309,27.41737789,85.0609003,308306,3034159,Dalbergia sissoo,,22,17,3
310,27.41638939,85.06245507,308458,3034047,Eugenia Jambolana,,78,21,2
311,27.41626557,85.05747008,307965,3034041,Hymenodictyon excelsum,,53,15,3
312,27.41384554,85.06785285,308987,3033757,Lagerstroemia parviflora,,98,24,3
313,27.41029394,85.07089965,309283,3033359,Michelia champaca,,48,30,3
314,27.41173829,85.05951944,308160,3033536,Pinus roxburghii,,28,23,3
315,27.41638862,85.06342806,308554,3034046,Pinus wallichiana,,51,20,4
316,27.41267959,85.07203341,309399,3033621,Quercus spp,,22,23,1
317,27.4094952,85.05463948,307673,3033295,Schima wallichii,,45,28,2
318,27.41135317,85.07182752,309376,3033475,Shorea robusta,,20,30,1
319,27.41727257,85.06397515,308610,3034143,Terminalia alata,,28,15,4
320,27.40801272,85.07026192,309216,3033107,Trewia nudiflora,,76,27,1
321,27.41084286,85.05442768,307655,3033445,Tsuga spp,,42,27,1
322,27.41345841,85.06757885,308960,3033715,Terai spp,,100,30,1
323,27.41536608,85.05810896,308027,3033940,Hill spp,,75,21,1
324,27.4131554,85.06667417,308870,3033682,Abies spp,,27,23,1
325,27.40844725,85.07037515,309228,3033155,Acacia catechu,,50,29,1
326,27.40868916,85.06843666,309036,3033185,Adina cardifolia,,60,15,1
327,27.4172943,85.05965345,308183,3034152,Albizia spp,,99,27,4
328,27.41106657,85.05525908,307737,3033469,Alnus nepalensis,,58,22,2
329,27.41029512,85.05528897,307739,3033383,Anogeissus latifolia,,92,15,1
330,27.41333443,85.06705781,308908,3033702,Bombax ceiba,,49,29,1
331,27.40958637,85.05417235,307627,3033306,Cedrela toona,,29,28,1
332,27.40852307,85.05544429,307751,3033186,Abies spp,,65,15,3
333,27.41289697,85.05799448,308011,3033667,Acacia catechu,,60,26,2
334,27.41394835,85.05854343,308067,3033783,Adina cardifolia,,38,17,1
335,27.41614191,85.06427325,308637,3034017,Albizia spp,,51,18,4
336,27.41329583,85.06606022,308809,3033699,Alnus nepalensis,,24,16,2
337,27.41320956,85.06984154,309183,3033683,Anogeissus latifolia,,92,26,2
338,27.41314449,85.05714211,307927,3033696,Bombax ceiba,,75,15,4
339,27.41854105,85.06331294,308547,3034284,Cedrela toona,,95,24,4
340,27.41137281,85.06939765,309136,3033481,Dalbergia sissoo,,12,15,1
341,27.41278032,85.0705605,309253,3033635,Eugenia Jambolana,,37,30,2
342,27.41215711,85.06466785,308670,3033575,Hymenodictyon excelsum,,49,22,1
343,27.41172468,85.06838744,309037,3033521,Lagerstroemia parviflora,,41,25,1
344,27.410354,85.06899339,309094,3033368,Michelia champaca,,13,26,2
345,27.40998974,85.06794502,308990,3033330,Pinus roxburghii,,38,23,2
346,27.41424044,85.0631434,308522,3033808,Pinus wallichiana,,65,26,4
347,27.41232643,85.06257726,308463,3033597,Quercus spp,,61,16,1
348,27.41165952,85.05718209,307928,3033531,Schima wallichii,,55,24,2
349,27.40905431,85.06790176,308984,3033226,Shorea robusta,,83,18,2
350,27.41009801,85.05300358,307513,3033365,Terminalia alata,,14,29,1
351,27.40809297,85.05650992,307856,3033137,Trewia nudiflora,,24,25,2
352,27.41088552,85.05798034,308006,3033444,Tsuga spp,,50,17,2
353,27.4107049,85.0564218,307852,3033427,Terai spp,,36,25,3
354,27.41110048,85.06919518,309115,3033451,Hill spp,,89,16,2
355,27.41316199,85.05978892,308189,3033694,Abies spp,,32,24,2
356,27.41185702,85.07256587,309450,3033529,Acacia catechu,,33,23,4
357,27.41455586,85.05945352,308158,3033849,Adina cardifolia,,25,22,4
358,27.41415051,85.06902298,309104,3033789,Albizia spp,,40,22,4
359,27.40865662,85.06940029,309131,3033180,Alnus nepalensis,,71,26,2
360,27.41249918,85.07176312,309372,3033602,Anogeissus latifolia,,64,16,3
361,27.41150286,85.05555914,307768,3033516,Bombax ceiba,,38,30,3
362,27.41186771,85.06363243,308567,3033544,Cedrela toona,,65,24,1
363,27.41790535,85.06180884,308397,3034216,Dalbergia sissoo,,15,26,2
364,27.41281847,85.07172936,309369,3033637,Eugenia Jambolana,,69,17,3
365,27.40797294,85.05749828,307953,3033122,Hymenodictyon excelsum,,42,27,3
366,27.41195285,85.05590551,307803,3033566,Lagerstroemia parviflora,,69,27,4
367,27.41418931,85.06559969,308765,3033799,Michelia champaca,,34,29,4
368,27.41334602,85.07248583,309445,3033695,Pinus roxburghii,,77,20,2
369,27.4126443,85.0633247,308538,3033631,Pinus wallichiana,,35,15,1
370,27.4179311,85.06019615,308237,3034221,Quercus spp,,90,25,1
371,27.41057449,85.07195368,309387,3033388,Schima wallichii,,35,17,3
372,27.40959952,85.06568709,308766,3033290,Shorea robusta,,51,24,3
373,27.41049869,85.07170513,309363,3033380,Terminalia alata,,41,20,1
374,27.40879996,85.05373156,307582,3033220,Trewia nudiflora,,96,18,4
375,27.41305003,85.06237427,308444,3033677,Tsuga spp,,48,30,1
376,27.41568279,85.05878814,308094,3033975,Terai spp,,66,26,1
377,27.41241878,85.07215396,309410,3033592,Hill spp,,80,22,3
