SN,x,y,species,code,dia_cm,height_m,class
90,308632,3033964,Michelia champaca,,43,26,4
91,308509,3034285,Pinus roxburghii,,48,20,4
92,308776,3033454,Pinus wallichiana,,27,24,2
93,309441,3033514,Quercus spp,,20,23,2
94,308551,3033525,Schima wallichii,,58,17,2
95,308333,3033786,Shorea robusta,,100,24,3
96,308015,3033572,Terminalia alata,,77,22,3
97,308409,3033741,Trewia nudiflora,,69,27,2
98,308557,3033334,Tsuga spp,,25,16,1
99,307614,3033231,Terai spp,,71,20,3
100,308458,3033789,Hill spp,,40,24,1
101,309254,3033322,Abies spp,,36,26,1
102,308573,3033803,Acacia catechu,,36,25,4
103,308616,3034106,Adina cardifolia,,27,16,1
104,309265,3033281,Albizia spp,,48,21,1
105,308481,3033751,Alnus nepalensis,,72,18,4
106,307889,3033553,Anogeissus latifolia,,66,20,2
107,308890,3033505,Bombax ceiba,,81,22,4
108,308579,3033353,Cedrela toona,,45,15,4
109,308352,3033624,Abies spp,,93,23,1
110,309101,3033476,Acacia catechu,,29,22,3
111,309066,3033202,Adina cardifolia,,62,16,1
112,308591,3033850,Albizia spp,,72,15,1
113,308401,3033702,Alnus nepalensis,,32,20,3
114,308355,3034102,Anogeissus latifolia,,76,24,3
115,308363,3034007,Bombax ceiba,,61,25,2
116,307577,3033361,Cedrela toona,,60,24,2
117,307425,3033317,Dalbergia sissoo,,31,23,3
118,309278,3033602,Eugenia Jambolana,,70,30,4
119,308862,3033697,Hymenodictyon excelsum,,73,21,1
120,307540,3033350,Lagerstroemia parviflora,,81,17,4
121,307908,3033539,Michelia champaca,,39,27,2
122,309163,3033677,Pinus roxburghii,,64,26,2
123,307599,3033235,Pinus wallichiana,,97,21,3
124,308130,3033492,Quercus spp,,47,16,1
125,309014,3033585,Schima wallichii,,10,30,3
126,308713,3033750,Shorea robusta,,91,16,2
127,309320,3033821,Terminalia alata,,57,19,1
128,308911,3033454,Trewia nudiflora,,76,24,3
129,309219,3033321,Tsuga spp,,20,21,4
130,308750,3033473,Terai spp,,30,22,2
131,308469,3033591,Hill spp,,97,19,1
132,307564,3033422,Abies spp,,91,20,2
133,308332,3033712,Acacia catechu,,36,19,3
134,307762,3033488,Adina cardifolia,,45,27,1
135,309276,3033780,Albizia spp,,65,30,4
136,307465,3033396,Alnus nepalensis,,39,16,1
137,308640,3033200,Anogeissus latifolia,,48,30,2
138,309408,3033658,Bombax ceiba,,61,24,1
139,309027,3033210,Cedrela toona,,91,16,3
140,309336,3033595,Dalbergia sissoo,,99,19,1
141,308600,3034144,Eugenia Jambolana,,41,19,3
142,309029,3033178,Hymenodictyon excelsum,,59,20,4
143,308203,3033709,Lagerstroemia parviflora,,16,20,4
144,307488,3033350,Michelia champaca,,66,26,4
145,308906,3033377,Pinus roxburghii,,27,24,2
146,308364,3033923,Pinus wallichiana,,72,24,4
147,308603,3033261,Quercus spp,,82,19,4
148,309168,3033383,Schima wallichii,,84,25,2
149,308080,3034052,Shorea robusta,,19,26,4
150,308932,3033674,Terminalia alata,,19,29,1
151,307552,3033281,Trewia nudiflora,,62,18,3
152,309039,3033706,Tsuga spp,,62,26,1
153,308644,3034016,Terai spp,,96,26,3
154,308978,3033241,Hill spp,,20,22,4
155,309210,3033825,Abies spp,,11,25,2
156,308866,3033753,Acacia catechu,,42,28,2
157,307617,3033421,Adina cardifolia,,84,25,4
158,309310,3033595,Albizia spp,,83,17,2
159,308726,3033507,Alnus nepalensis,,92,22,4
160,308397,3034184,Anogeissus latifolia,,74,19,4
161,308150,3033743,Bombax ceiba,,75,22,1
162,309321,3033595,Cedrela toona,,25,21,2
163,308157,3033554,Abies spp,,67,26,3
164,308694,3033643,Acacia catechu,,25,21,3
165,308802,3033371,Adina cardifolia,,83,29,2
166,308190,3033905,Albizia spp,,54,21,3
167,309243,3033684,Alnus nepalensis,,71,28,1
168,307511,3033307,Anogeissus latifolia,,100,21,4
169,308847,3033663,Bombax ceiba,,74,27,4
170,308724,3033719,Cedrela toona,,31,27,3
171,309100,3033702,Dalbergia sissoo,,82,30,3
172,308996,3033483,Eugenia Jambolana,,66,24,3
173,308567,3034015,Hymenodictyon excelsum,,37,23,1
174,309110,3033694,Lagerstroemia parviflora,,93,15,3
175,308291,3034014,Michelia champaca,,95,19,3
176,308201,3034096,Pinus roxburghii,,83,18,1
177,309266,3033832,Pinus wallichiana,,37,17,4
178,307966,3033667,Quercus spp,,84,27,4
179,308778,3033327,Schima wallichii,,46,24,2
180,309060,3033450,Shorea robusta,,29,19,4
181,308085,3033985,Terminalia alata,,93,29,3
182,307697,3033439,Trewia nudiflora,,48,22,1
183,308022,3033743,Tsuga spp,,37,26,1
184,309257,3033865,Terai spp,,56,17,4
185,308831,3033299,Hill spp,,36,26,2
186,308589,3033987,Abies spp,,58,26,3
187,307809,3033211,Acacia catechu,,39,30,2
188,309183,3033438,Adina cardifolia,,25,16,4
189,308209,3034206,Albizia spp,,53,15,2
190,309073,3033591,Alnus nepalensis,,98,26,2
191,309387,3033578,Anogeissus latifolia,,95,26,3
192,308644,3033534,Bombax ceiba,,60,20,1
193,308533,3033560,Cedrela toona,,25,20,2
194,309441,3033439,Dalbergia sissoo,,76,29,3
195,308566,3033892,Eugenia Jambolana,,38,24,1
196,308760,3033860,Hymenodictyon excelsum,,74,28,3
197,308354,3033958,Lagerstroemia parviflora,,24,29,4
198,307892,3033625,Michelia champaca,,74,16,3
199,307924,3033988,Pinus roxburghii,,67,18,4
200,307560,3033306,Pinus wallichiana,,57,15,3
201,308959,3033657,Quercus spp,,26,18,4
202,307790,3033524,Schima wallichii,,41,18,2
203,308398,3033799,Shorea robusta,,82,28,2
204,308418,3033592,Terminalia alata,,34,16,3
205,308372,3034027,Trewia nudiflora,,93,21,4
206,308525,3033900,Tsuga spp,,19,22,2
207,308728,3033451,Terai spp,,45,26,4
208,309013,3033832,Hill spp,,91,18,3
209,308616,3033900,Abies spp,,98,27,3
210,308886,3033658,Acacia catechu,,40,22,2
211,307519,3033353,Adina cardifolia,,26,27,3
212,307935,3033487,Albizia spp,,20,16,4
213,308298,3033657,Alnus nepalensis,,49,24,1
214,309068,3033091,Anogeissus latifolia,,73,22,3
215,307809,3033293,Bombax ceiba,,70,16,4
216,308591,3034096,Cedrela toona,,97,23,3
217,308442,3034180,Abies spp,,50,30,3
218,308385,3034260,Acacia catechu,,30,23,3
219,308740,3033785,Adina cardifolia,,27,21,1
220,309091,3033779,Albizia spp,,95,18,1
221,309128,3033391,Alnus nepalensis,,59,29,2
222,308388,3034250,Anogeissus latifolia,,10,19,4
223,308812,3033373,Bombax ceiba,,30,27,4
224,308356,3034214,Abies spp,,41,29,4
225,308604,3033191,Acacia catechu,,12,21,2
226,308405,3033554,Adina cardifolia,,100,16,4
227,309236,3033693,Albizia spp,,16,25,3
228,307776,3033562,Alnus nepalensis,,27,20,4
229,309197,3033628,Anogeissus latifolia,,92,15,1
230,308938,3033745,Bombax ceiba,,99,23,1
231,308684,3033189,Cedrela toona,,13,23,2
232,309394,3033588,Dalbergia sissoo,,97,27,2
233,307785,3033323,Eugenia Jambolana,,17,18,1
234,308722,3033491,Hymenodictyon excelsum,,43,20,4
235,307780,3033540,Lagerstroemia parviflora,,39,27,2
236,309169,3033481,Michelia champaca,,69,24,1
237,308791,3033515,Pinus roxburghii,,93,17,1
238,308437,3034228,Pinus wallichiana,,86,24,1
239,308910,3033660,Quercus spp,,37,23,4
240,308758,3033240,Schima wallichii,,21,15,3
241,308273,3033850,Shorea robusta,,76,29,2
242,307978,3033853,Terminalia alata,,11,25,1
243,308482,3033625,Trewia nudiflora,,35,25,4
244,309317,3033422,Tsuga spp,,74,20,1
245,308608,3034016,Terai spp,,54,15,1
246,308375,3034148,Hill spp,,72,26,1
247,308894,3033674,Abies spp,,94,20,2
248,309069,3033854,Acacia catechu,,71,22,2
249,308985,3033657,Adina cardifolia,,28,17,4
250,307701,3033425,Albizia spp,,44,30,1
251,308688,3033285,Alnus nepalensis,,47,29,3
252,308069,3033482,Anogeissus latifolia,,29,30,4
253,309192,3033342,Bombax ceiba,,13,22,4
254,308451,3033656,Cedrela toona,,25,27,4
255,308519,3033500,Dalbergia sissoo,,82,19,4
256,309263,3033616,Eugenia Jambolana,,82,25,4
257,308670,3033189,Hymenodictyon excelsum,,88,18,4
258,308525,3033736,Lagerstroemia parviflora,,62,25,2
259,308593,3034132,Michelia champaca,,41,28,4
260,308512,3033946,Pinus roxburghii,,74,22,2
261,309266,3033635,Pinus wallichiana,,35,29,2
262,308172,3033777,Quercus spp,,81,25,4
263,307923,3033718,Schima wallichii,,53,18,4
264,307716,3033275,Shorea robusta,,45,23,3
265,307928,3033126,Terminalia alata,,73,24,2
266,308616,3033279,Trewia nudiflora,,73,26,3
267,308220,3033812,Tsuga spp,,59,27,3
268,308556,3033669,Terai spp,,90,23,2
269,308624,3033764,Hill spp,,70,29,2
270,308643,3033768,Abies spp,,57,27,4
271,308344,3034123,Acacia catechu,,65,19,4
272,309063,3033912,Adina cardifolia,,56,21,2
273,307896,3033503,Albizia spp,,38,29,2
274,309074,3033710,Alnus nepalensis,,86,20,4
275,309058,3033586,Anogeissus latifolia,,29,23,3
276,308607,3033406,Bombax ceiba,,41,24,2
277,308768,3033250,Cedrela toona,,76,23,2
278,309215,3033613,Abies spp,,82,16,1
279,308644,3033639,Acacia catechu,,85,16,4
280,308808,3033426,Adina cardifolia,,49,15,2
281,309308,3033669,Albizia spp,,48,23,4
282,309237,3033334,Alnus nepalensis,,100,15,3
283,308428,3033570,Anogeissus latifolia,,42,20,1
284,308691,3033352,Bombax ceiba,,45,23,1
285,308403,3033914,Cedrela toona,,37,17,4
286,308472,3034048,Dalbergia sissoo,,20,25,1
287,308575,3033501,Eugenia Jambolana,,96,22,3
288,308499,3033527,Hymenodictyon excelsum,,12,21,4
289,308294,3034160,Lagerstroemia parviflora,,94,21,1
290,308659,3033238,Michelia champaca,,84,16,2
291,309445,3033516,Pinus roxburghii,,26,16,1
292,308938,3033358,Pinus wallichiana,,73,17,3
293,308670,3033437,Quercus spp,,84,20,3
294,308533,3033423,Schima wallichii,,50,18,2
295,308721,3033368,Shorea robusta,,12,25,1
296,307619,3033252,Terminalia alata,,69,15,4
297,308579,3034082,Trewia nudiflora,,47,18,3
298,308480,3033903,Tsuga spp,,42,30,1
299,309237,3033468,Terai spp,,72,23,4
300,308783,3033646,Hill spp,,11,15,4
301,308588,3033703,Abies spp,,36,26,2
302,309072,3033304,Acacia catechu,,18,17,1
303,309335,3033777,Adina cardifolia,,10,27,3
304,308059,3033542,Albizia spp,,12,20,1
305,307940,3033190,Alnus nepalensis,,50,28,3
306,307925,3033381,Anogeissus latifolia,,86,17,3
307,308510,3033584,Bombax ceiba,,61,25,1
308,309130,3033719,Cedrela toona,,47,20,3
309,308306,3034159,Dalbergia sissoo,,22,17,3
310,308458,3034047,Eugenia Jambolana,,78,21,2
311,307965,3034041,Hymenodictyon excelsum,,53,15,3
312,308987,3033757,Lagerstroemia parviflora,,98,24,3
313,309283,3033359,Michelia champaca,,48,30,3
314,308160,3033536,Pinus roxburghii,,28,23,3
315,308554,3034046,Pinus wallichiana,,51,20,4
316,309399,3033621,Quercus spp,,22,23,1
317,307673,3033295,Schima wallichii,,45,28,2
318,309376,3033475,Shorea robusta,,20,30,1
319,308610,3034143,Terminalia alata,,28,15,4
320,309216,3033107,Trewia nudiflora,,76,27,1
321,307655,3033445,Tsuga spp,,42,27,1
322,308960,3033715,Terai spp,,100,30,1
323,308027,3033940,Hill spp,,75,21,1
324,308870,3033682,Abies spp,,27,23,1
325,309228,3033155,Acacia catechu,,50,29,1
326,309036,3033185,Adina cardifolia,,60,15,1
327,308183,3034152,Albizia spp,,99,27,4
328,307737,3033469,Alnus nepalensis,,58,22,2
329,307739,3033383,Anogeissus latifolia,,92,15,1
330,308908,3033702,Bombax ceiba,,49,29,1
331,307627,3033306,Cedrela toona,,29,28,1
332,307751,3033186,Abies spp,,65,15,3
333,308011,3033667,Acacia catechu,,60,26,2
334,308067,3033783,Adina cardifolia,,38,17,1
335,308637,3034017,Albizia spp,,51,18,4
336,308809,3033699,Alnus nepalensis,,24,16,2
337,309183,3033683,Anogeissus latifolia,,92,26,2
338,307927,3033696,Bombax ceiba,,75,15,4
339,308547,3034284,Cedrela toona,,95,24,4
340,309136,3033481,Dalbergia sissoo,,12,15,1
341,309253,3033635,Eugenia Jambolana,,37,30,2
342,308670,3033575,Hymenodictyon excelsum,,49,22,1
343,309037,3033521,Lagerstroemia parviflora,,41,25,1
344,309094,3033368,Michelia champaca,,13,26,2
345,308990,3033330,Pinus roxburghii,,38,23,2
346,308522,3033808,Pinus wallichiana,,65,26,4
347,308463,3033597,Quercus spp,,61,16,1
348,307928,3033531,Schima wallichii,,55,24,2
349,308984,3033226,Shorea robusta,,83,18,2
350,307513,3033365,Terminalia alata,,14,29,1
351,307856,3033137,Trewia nudiflora,,24,25,2
352,308006,3033444,Tsuga spp,,50,17,2
353,307852,3033427,Terai spp,,36,25,3
354,309115,3033451,Hill spp,,89,16,2
355,308189,3033694,Abies spp,,32,24,2
356,309450,3033529,Acacia catechu,,33,23,4
357,308158,3033849,Adina cardifolia,,25,22,4
358,309104,3033789,Albizia spp,,40,22,4
359,309131,3033180,Alnus nepalensis,,71,26,2
360,309372,3033602,Anogeissus latifolia,,64,16,3
361,307768,3033516,Bombax ceiba,,38,30,3
362,308567,3033544,Cedrela toona,,65,24,1
363,308397,3034216,Dalbergia sissoo,,15,26,2
364,309369,3033637,Eugenia Jambolana,,69,17,3
365,307953,3033122,Hymenodictyon excelsum,,42,27,3
366,307803,3033566,Lagerstroemia parviflora,,69,27,4
367,308765,3033799,Michelia champaca,,34,29,4
368,309445,3033695,Pinus roxburghii,,77,20,2
369,308538,3033631,Pinus wallichiana,,35,15,1
370,308237,3034221,Quercus spp,,90,25,1
371,309387,3033388,Schima wallichii,,35,17,3
372,308766,3033290,Shorea robusta,,51,24,3
373,309363,3033380,Terminalia alata,,41,20,1
374,307582,3033220,Trewia nudiflora,,96,18,4
375,308444,3033677,Tsuga spp,,48,30,1
376,308094,3033975,Terai spp,,66,26,1
377,309410,3033592,Hill spp,,80,22,3
378,308343,3033663,Abies spp,,96,20,1
379,308698,3033813,Acacia catechu,,31,18,4
380,308730,3033761,Adina cardifolia,,40,15,3
381,307856,3033390,Albizia spp,,67,25,1
382,309292,3033558,Alnus nepalensis,,78,23,1
383,307835,3033615,Anogeissus latifolia,,52,17,1
384,309185,3033450,Bombax ceiba,,88,18,1
385,308047,3033696,Cedrela toona,,81,22,4
386,308589,3034216,Abies spp,,10,16,4
387,307684,3033262,Acacia catechu,,16,21,3
388,308197,3034217,Adina cardifolia,,77,16,2
389,309176,3033694,Albizia spp,,48,30,3
390,309114,3033391,Alnus nepalensis,,35,18,1
391,307945,3033498,Anogeissus latifolia,,67,19,1
392,309081,3033798,Bombax ceiba,,24,24,3
393,308344,3033644,Cedrela toona,,22,24,3
394,308548,3033610,Dalbergia sissoo,,71,18,2
395,309055,3033800,Eugenia Jambolana,,50,25,1
396,308027,3033738,Hymenodictyon excelsum,,15,19,4
397,308555,3033626,Lagerstroemia parviflora,,30,19,2
398,308986,3033251,Michelia champaca,,50,15,2
399,308548,3033327,Pinus roxburghii,,100,18,4
400,309380,3033466,Pinus wallichiana,,34,22,3
401,308214,3033642,Quercus spp,,60,29,3
402,308202,3033958,Schima wallichii,,21,22,1
403,308864,3033497,Shorea robusta,,79,25,1
404,308282,3033605,Terminalia alata,,57,15,3
405,307723,3033202,Trewia nudiflora,,25,28,3
406,308260,3033603,Tsuga spp,,50,25,2
407,308452,3034257,Terai spp,,55,30,2
408,308379,3033772,Hill spp,,80,17,3
409,309038,3033792,Abies spp,,28,15,3
410,308195,3033949,Acacia catechu,,26,18,3
411,308728,3033824,Adina cardifolia,,24,15,1
412,309262,3033678,Albizia spp,,65,23,3
413,309076,3033526,Abies spp,,62,18,4
414,309303,3033652,Acacia catechu,,41,26,3
415,308069,3033853,Adina cardifolia,,84,22,4
416,308516,3033802,Albizia spp,,20,24,2
417,307972,3033813,Alnus nepalensis,,47,17,4
418,309136,3033753,Anogeissus latifolia,,19,22,2
419,308579,3033458,Bombax ceiba,,28,29,2
420,307524,3033297,Cedrela toona,,88,18,2
421,308018,3033441,Dalbergia sissoo,,39,25,4
422,307922,3033489,Eugenia Jambolana,,27,17,3
423,307980,3033860,Hymenodictyon excelsum,,24,24,4
424,307702,3033414,Lagerstroemia parviflora,,16,26,1
425,307966,3033760,Michelia champaca,,96,21,3
426,309041,3033358,Pinus roxburghii,,23,29,4
427,308833,3033232,Pinus wallichiana,,96,16,1
428,308706,3033502,Quercus spp,,79,22,3
429,308212,3033616,Schima wallichii,,70,26,2
430,307791,3033481,Shorea robusta,,70,29,1
431,308933,3033669,Terminalia alata,,95,21,2
432,309044,3033574,Trewia nudiflora,,42,22,1
433,308526,3034121,Tsuga spp,,79,20,1
434,307974,3034050,Terai spp,,40,29,2
435,307894,3033516,Hill spp,,78,21,1
436,309290,3033690,Abies spp,,44,22,3
437,308115,3033451,Acacia catechu,,87,27,3
438,309012,3033216,Adina cardifolia,,40,28,2
439,307863,3033177,Albizia spp,,48,16,2
440,308242,3033734,Alnus nepalensis,,74,22,2
441,308039,3033702,Anogeissus latifolia,,63,24,4
442,308300,3034110,Bombax ceiba,,58,17,4
443,307775,3033466,Cedrela toona,,80,29,1
444,309462,3033544,Dalbergia sissoo,,66,18,2
445,308931,3033542,Eugenia Jambolana,,82,25,1
446,307866,3033474,Hymenodictyon excelsum,,13,25,3
447,308759,3033253,Lagerstroemia parviflora,,19,27,1
448,308510,3033277,Michelia champaca,,87,29,1
449,308390,3034098,Pinus roxburghii,,100,24,2
450,308571,3033257,Pinus wallichiana,,26,23,2
451,307824,3033240,Quercus spp,,21,24,2
452,308011,3033793,Schima wallichii,,65,26,1
453,308354,3033736,Shorea robusta,,88,18,2
454,308698,3033790,Terminalia alata,,87,15,2
455,308836,3033503,Trewia nudiflora,,15,29,3
456,309281,3033471,Tsuga spp,,83,15,2
457,308961,3033518,Terai spp,,19,21,4
458,309364,3033823,Hill spp,,62,30,2
459,309052,3033348,Abies spp,,42,18,1
460,308675,3033203,Acacia catechu,,70,20,3
461,309304,3033494,Adina cardifolia,,10,25,4
462,308739,3033439,Albizia spp,,86,24,2
463,308607,3033406,Alnus nepalensis,,76,15,2
464,308044,3033434,Anogeissus latifolia,,94,17,4
465,308300,3033850,Bombax ceiba,,60,30,4
466,309032,3033525,Cedrela toona,,84,21,1
467,309174,3033617,Abies spp,,94,19,3
468,308325,3034069,Acacia catechu,,14,18,3
469,308884,3033547,Adina cardifolia,,92,17,4
470,308716,3033151,Albizia spp,,16,23,1
471,307947,3033292,Alnus nepalensis,,16,16,4
472,307805,3033597,Anogeissus latifolia,,90,23,1
473,309029,3033759,Bombax ceiba,,38,16,4
474,309274,3033388,Cedrela toona,,21,16,1
475,308146,3033895,Dalbergia sissoo,,65,18,3
476,308055,3033561,Eugenia Jambolana,,43,20,1
477,308080,3033800,Hymenodictyon excelsum,,58,30,3
478,309341,3033521,Lagerstroemia parviflora,,95,17,1
479,308369,3033704,Michelia champaca,,72,28,1
480,308849,3033431,Pinus roxburghii,,17,27,2
481,308601,3034059,Pinus wallichiana,,68,28,1
482,308895,3033497,Quercus spp,,96,20,1
483,308544,3033515,Schima wallichii,,91,19,3
484,308916,3033458,Shorea robusta,,18,15,2
485,308762,3033790,Terminalia alata,,35,16,2
486,308624,3033807,Trewia nudiflora,,73,29,4
487,308637,3033608,Tsuga spp,,68,28,1
488,308917,3033611,Terai spp,,25,25,3
489,308519,3033384,Hill spp,,77,15,2
490,308822,3033335,Abies spp,,86,17,2
491,308852,3033630,Acacia catechu,,88,15,3
492,308653,3033667,Adina cardifolia,,74,30,4
493,308170,3033498,Albizia spp,,77,16,2
494,308700,3033253,Alnus nepalensis,,95,20,1
495,307634,3033304,Anogeissus latifolia,,64,30,3
496,309224,3033607,Bombax ceiba,,34,19,1
497,308199,3034030,Cedrela toona,,45,29,3
498,309281,3033914,Dalbergia sissoo,,18,22,1
499,308616,3033772,Eugenia Jambolana,,75,23,4
500,309252,3033128,Hymenodictyon excelsum,,56,29,4
501,308447,3033973,Lagerstroemia parviflora,,90,15,4
502,308601,3033455,Michelia champaca,,11,26,1
503,308806,3033856,Pinus roxburghii,,51,25,1
504,309167,3033596,Pinus wallichiana,,83,18,3
505,309426,3033528,Quercus spp,,91,27,4
506,307930,3033312,Schima wallichii,,45,22,2
507,308494,3034062,Shorea robusta,,36,17,4
508,308483,3033555,Terminalia alata,,29,21,1
509,308258,3033847,Trewia nudiflora,,10,28,4
510,308969,3033643,Tsuga spp,,69,28,3
511,308481,3033795,Terai spp,,70,26,2
512,308568,3033894,Hill spp,,85,19,2
513,307728,3033339,Abies spp,,11,28,3
514,308193,3034039,Acacia catechu,,34,25,1
515,308870,3033818,Adina cardifolia,,11,24,1
516,307875,3033579,Albizia spp,,47,17,2
517,307995,3033510,Alnus nepalensis,,53,19,4
518,307856,3033182,Anogeissus latifolia,,89,25,2
519,309159,3033315,Bombax ceiba,,92,16,3
520,309087,3033326,Cedrela toona,,93,26,2
521,308530,3034036,Abies spp,,31,26,3
522,308431,3033569,Acacia catechu,,80,16,2
523,308474,3033905,Adina cardifolia,,66,23,1
524,308406,3034067,Albizia spp,,33,22,1
525,308138,3033468,Alnus nepalensis,,50,17,1
526,308339,3033652,Anogeissus latifolia,,98,29,3
527,308520,3033516,Bombax ceiba,,79,19,4
528,307938,3034013,Cedrela toona,,19,21,3
529,308504,3033759,Dalbergia sissoo,,10,16,3
530,308112,3033900,Eugenia Jambolana,,80,21,3
531,308115,3033931,Hymenodictyon excelsum,,48,28,1
532,307616,3033264,Lagerstroemia parviflora,,81,21,2
533,308880,3033592,Michelia champaca,,100,30,3
534,307855,3033494,Pinus roxburghii,,57,24,4
535,307714,3033363,Pinus wallichiana,,60,18,2
536,308703,3033586,Quercus spp,,62,21,1
537,307826,3033330,Schima wallichii,,25,28,1
538,308329,3033683,Shorea robusta,,31,28,2
539,309193,3033343,Terminalia alata,,22,17,2
540,309033,3033738,Trewia nudiflora,,34,23,2
541,309350,3033442,Tsuga spp,,64,26,1
542,307950,3033214,Terai spp,,53,17,4
543,307773,3033452,Hill spp,,64,30,2
544,309341,3033531,Abies spp,,73,24,4
545,307896,3033490,Acacia catechu,,31,30,3
546,308972,3033738,Adina cardifolia,,35,18,2
547,308718,3033565,Albizia spp,,68,27,2
548,309102,3033596,Alnus nepalensis,,64,23,4
549,308870,3033617,Anogeissus latifolia,,96,17,2
550,308044,3033574,Bombax ceiba,,49,29,3
551,308744,3033480,Cedrela toona,,24,17,2
552,309068,3033438,Dalbergia sissoo,,12,17,2
553,307832,3033506,Eugenia Jambolana,,52,15,1
554,308264,3033675,Hymenodictyon excelsum,,20,29,4
555,308679,3033280,Lagerstroemia parviflora,,60,28,1
556,307966,3033446,Michelia champaca,,98,15,2
557,307690,3033278,Pinus roxburghii,,13,30,3
558,307555,3033313,Pinus wallichiana,,49,28,2
559,309091,3033285,Quercus spp,,84,29,1
