latitude,longitude,x,y,Name,species,code,diameter,height_m,class
27.44789561,85.03899369,306193,3037575,Rame kholsa,Hymenodictyon excelsum,,16,19,3
27.44793835,85.0453152,306818,3037569,Rame kholsa,Lagerstroemia parviflora,,16,22,3
27.45165859,85.04021316,306320,3037990,Rame kholsa,Michelia champaca,,43,26,4
27.45067171,85.04458506,306751,3037873,Rame kholsa,Pinus roxburghii,,48,20,4
27.44593286,85.03795323,306087,3037359,Rame kholsa,Pinus wallichiana,,27,24,2
27.4485917,85.04554933,306842,3037641,Rame kholsa,Quercus spp,,20,23,2
27.44552662,85.04151369,306438,3037308,Rame kholsa,Schima wallichii,,58,17,2
27.44555295,85.03903522,306193,3037315,Rame kholsa,Shorea robusta,,100,24,3
27.4545847,85.04405017,306705,3038308,Rame kholsa,Terminalia alata,,77,22,3
27.44568654,85.04119718,306407,3037326,Rame kholsa,Trewia nudiflora,,69,27,2
27.44393687,85.03836909,306125,3037137,Rame kholsa,Tsuga spp,,25,16,1
27.44988648,85.03949825,306247,3037794,Rame kholsa,Terai spp,,71,20,3
27.44736983,85.04441023,306728,3037508,Rame kholsa,Hill spp,,40,24,1
27.44301223,85.03838614,306125,3037034,Rame kholsa,Abies spp,,36,26,1
27.44702453,85.04078911,306369,3037475,Rame kholsa,Acacia catechu,,36,25,4
27.44352759,85.0440507,306686,3037083,Rame kholsa,Adina cardifolia,,27,16,1
27.44980016,85.04211991,306506,3037781,Rame kholsa,Albizia spp,,48,21,1
27.45134038,85.04557584,306850,3037946,Rame kholsa,Alnus nepalensis,,72,18,4
27.44895723,85.04743454,307029,3037679,Rame kholsa,Anogeissus latifolia,,66,20,2
27.44456653,85.04686783,306966,3037193,Rame kholsa,Bombax ceiba,,81,22,4
27.44258394,85.04059093,306342,3036983,Rame kholsa,Cedrela toona,,45,15,4
27.45413427,85.0429187,306592,3038260,Rame kholsa,Abies spp,,93,23,1
27.45338717,85.04315158,306614,3038177,Rame kholsa,Acacia catechu,,29,22,3
27.45469675,85.04385167,306685,3038321,Rame kholsa,Adina cardifolia,,62,16,1
27.44928619,85.03809901,306107,3037730,Rame kholsa,Albizia spp,,72,15,1
27.44757267,85.0448491,306771,3037530,Rame kholsa,Alnus nepalensis,,32,20,3
27.44393083,85.03927002,306214,3037135,Rame kholsa,Anogeissus latifolia,,76,24,3
27.44926167,85.04093448,306387,3037723,Rame kholsa,Bombax ceiba,,61,25,2
27.44240377,85.03880679,306165,3036966,Rame kholsa,Cedrela toona,,60,24,2
27.44902641,85.04657744,306945,3037688,Rame kholsa,Dalbergia sissoo,,31,23,3
27.44737138,85.0412666,306417,3037513,Rame kholsa,Eugenia Jambolana,,70,30,4
27.45346918,85.04062737,306364,3038190,Rame kholsa,Hymenodictyon excelsum,,73,21,1
27.45153121,85.0404253,306341,3037975,Rame kholsa,Lagerstroemia parviflora,,81,17,4
27.44569793,85.0458872,306871,3037320,Rame kholsa,Michelia champaca,,39,27,2
27.44244587,85.03683056,305970,3036974,Rame kholsa,Pinus roxburghii,,64,26,2
27.4460505,85.04353959,306639,3037363,Rame kholsa,Pinus wallichiana,,97,21,3
27.44104187,85.03801581,306085,3036817,Rame kholsa,Quercus spp,,47,16,1
27.44325743,85.04079453,306363,3037058,Rame kholsa,Schima wallichii,,10,30,3
27.44973714,85.04159589,306454,3037775,Rame kholsa,Shorea robusta,,91,16,2
27.44929877,85.04659051,306947,3037718,Rame kholsa,Terminalia alata,,57,19,1
27.45585242,85.0429401,306597,3038450,Rame kholsa,Trewia nudiflora,,76,24,3
27.44571108,85.03810393,306101,3037334,Rame kholsa,Tsuga spp,,20,21,4
27.44039856,85.03684489,305968,3036747,Rame kholsa,Terai spp,,30,22,2
27.44545727,85.04152561,306439,3037300,Rame kholsa,Hill spp,,97,19,1
27.45429655,85.04351036,306651,3038277,Rame kholsa,Abies spp,,91,20,2
27.44417341,85.04640499,306919,3037151,Rame kholsa,Acacia catechu,,36,19,3
27.44577075,85.03762268,306054,3037341,Rame kholsa,Adina cardifolia,,45,27,1
27.44974402,85.04016773,306313,3037778,Rame kholsa,Albizia spp,,65,30,4
27.45527697,85.04300705,306603,3038386,Rame kholsa,Alnus nepalensis,,39,16,1
27.44534129,85.04173551,306460,3037287,Rame kholsa,Anogeissus latifolia,,48,30,2
27.44316975,85.04019588,306304,3037049,Rame kholsa,Bombax ceiba,,61,24,1
27.44917189,85.03898062,306194,3037716,Rame kholsa,Cedrela toona,,91,16,3
27.44841929,85.04315635,306606,3037626,Rame kholsa,Dalbergia sissoo,,99,19,1
27.44432832,85.04240195,306524,3037174,Rame kholsa,Eugenia Jambolana,,41,19,3
27.45453034,85.04403185,306703,3038302,Rame kholsa,Hymenodictyon excelsum,,59,20,4
27.44324185,85.03808043,306095,3037060,Rame kholsa,Lagerstroemia parviflora,,16,20,4
27.44782768,85.04691496,306976,3037555,Rame kholsa,Michelia champaca,,66,26,4
27.45034772,85.03919637,306218,3037846,Rame kholsa,Pinus roxburghii,,27,24,2
27.44379134,85.04252112,306535,3037114,Rame kholsa,Pinus wallichiana,,72,24,4
27.44512468,85.0372431,306015,3037270,Rame kholsa,Quercus spp,,82,19,4
27.44218973,85.03732384,306018,3036945,Rame kholsa,Schima wallichii,,84,25,2
27.44467804,85.03867367,306156,3037219,Rame kholsa,Shorea robusta,,19,26,4
27.44924801,85.03956954,306253,3037723,Rame kholsa,Terminalia alata,,19,29,1
27.44409283,85.03738695,306028,3037156,Rame kholsa,Trewia nudiflora,,62,18,3
27.44708719,85.04342718,306630,3037478,Rame kholsa,Tsuga spp,,62,26,1
27.44328273,85.04599111,306877,3037053,Rame kholsa,Terai spp,,96,26,3
27.43924217,85.03707042,305988,3036619,Rame kholsa,Hill spp,,20,22,4
27.44154015,85.03892519,306175,3036870,Rame kholsa,Abies spp,,11,25,2
27.45046913,85.04209224,306504,3037855,Rame kholsa,Acacia catechu,,42,28,2
27.44275539,85.03812361,306098,3037006,Rame kholsa,Adina cardifolia,,84,25,4
27.44197215,85.03681858,305968,3036922,Rame kholsa,Albizia spp,,83,17,2
27.44743271,85.03880185,306173,3037524,Rame kholsa,Alnus nepalensis,,92,22,4
27.44991324,85.04071801,306367,3037795,Rame kholsa,Anogeissus latifolia,,74,19,4
27.44530665,85.04660319,306941,3037276,Rame kholsa,Bombax ceiba,,75,22,1
27.44384779,85.03999871,306286,3037124,Rame kholsa,Cedrela toona,,25,21,2
27.4446469,85.03903715,306192,3037215,Rame kholsa,Abies spp,,67,26,3
27.44445845,85.04432595,306714,3037185,Rame kholsa,Acacia catechu,,25,21,3
27.44867197,85.03793121,306090,3037662,Rame kholsa,Adina cardifolia,,83,29,2
27.45018483,85.04139118,306434,3037824,Rame kholsa,Albizia spp,,54,21,3
27.4468428,85.04224845,306513,3037453,Rame kholsa,Alnus nepalensis,,71,28,1
27.44610525,85.04505251,306789,3037367,Rame kholsa,Anogeissus latifolia,,100,21,4
27.44847112,85.04184759,306476,3037634,Rame kholsa,Bombax ceiba,,74,27,4
27.44476259,85.04088934,306375,3037224,Rame kholsa,Cedrela toona,,31,27,3
27.45017825,85.03965209,306262,3037826,Rame kholsa,Dalbergia sissoo,,82,30,3
27.45062226,85.04501157,306793,3037867,Rame kholsa,Eugenia Jambolana,,66,24,3
27.44799633,85.04290718,306580,3037580,Rame kholsa,Hymenodictyon excelsum,,37,23,1
27.44500117,85.04471096,306753,3037245,Rame kholsa,Lagerstroemia parviflora,,93,15,3
27.45141521,85.04507912,306801,3037955,Rame kholsa,Michelia champaca,,95,19,3
27.44433108,85.03794101,306083,3037181,Rame kholsa,Pinus roxburghii,,83,18,1
27.44573647,85.03798372,306090,3037337,Rame kholsa,Pinus wallichiana,,37,17,4
27.44888619,85.04016906,306311,3037682,Rame kholsa,Quercus spp,,84,27,4
27.44408118,85.04442997,306724,3037143,Rame kholsa,Schima wallichii,,46,24,2
27.45007491,85.0419404,306488,3037811,Rame kholsa,Shorea robusta,,29,19,4
27.45266333,85.04212767,306511,3038098,Rame kholsa,Terminalia alata,,93,29,3
27.44680241,85.04472746,306758,3037444,Rame kholsa,Trewia nudiflora,,48,22,1
27.44791938,85.04045226,306337,3037575,Rame kholsa,Tsuga spp,,37,26,1
27.44379139,85.04567488,306847,3037109,Rame kholsa,Terai spp,,56,17,4
27.45336224,85.04164122,306464,3038176,Rame kholsa,Hill spp,,36,26,2
27.44496063,85.04495571,306777,3037240,Rame kholsa,Abies spp,,58,26,3
27.43699323,85.03650043,305928,3036370,Rame kholsa,Acacia catechu,,39,30,2
27.44923381,85.03880831,306177,3037723,Rame kholsa,Adina cardifolia,,25,16,4
27.44945787,85.03906639,306203,3037748,Rame kholsa,Albizia spp,,53,15,2
27.44906407,85.04563057,306851,3037694,Rame kholsa,Alnus nepalensis,,98,26,2
27.44802085,85.04277599,306567,3037583,Rame kholsa,Anogeissus latifolia,,95,26,3
27.44805891,85.04064321,306357,3037590,Rame kholsa,Bombax ceiba,,60,20,1
27.44661882,85.03894272,306186,3037433,Rame kholsa,Cedrela toona,,25,20,2
27.4506535,85.04479274,306771,3037871,Rame kholsa,Dalbergia sissoo,,76,29,3
27.44223447,85.03724624,306011,3036950,Rame kholsa,Eugenia Jambolana,,38,24,1
27.44291677,85.04033792,306317,3037021,Rame kholsa,Hymenodictyon excelsum,,74,28,3
27.45047833,85.03881023,306180,3037861,Rame kholsa,Lagerstroemia parviflora,,24,29,4
27.44938328,85.0468194,306969,3037727,Rame kholsa,Michelia champaca,,74,16,3
27.45271256,85.0433075,306628,3038102,Rame kholsa,Pinus roxburghii,,67,18,4
27.44486461,85.04030744,306318,3037237,Rame kholsa,Pinus wallichiana,,57,15,3
27.44251065,85.04012424,306296,3036976,Rame kholsa,Quercus spp,,26,18,4
27.44464439,85.04224373,306509,3037209,Rame kholsa,Schima wallichii,,41,18,2
27.44734715,85.04276689,306565,3037508,Rame kholsa,Shorea robusta,,82,28,2
27.44508004,85.03742515,306033,3037265,Rame kholsa,Terminalia alata,,34,16,3
27.44589969,85.04135531,306423,3037350,Rame kholsa,Trewia nudiflora,,93,21,4
27.45474626,85.04303805,306605,3038327,Rame kholsa,Tsuga spp,,19,22,2
27.44488217,85.04360623,306644,3037233,Rame kholsa,Terai spp,,45,26,4
27.44778034,85.04160534,306451,3037558,Rame kholsa,Hill spp,,91,18,3
27.44631198,85.04277584,306564,3037393,Rame kholsa,Abies spp,,98,27,3
27.45307457,85.04428263,306725,3038140,Rame kholsa,Acacia catechu,,40,22,2
27.44303164,85.03903157,306188,3037036,Rame kholsa,Adina cardifolia,,26,27,3
27.45556792,85.04253121,306556,3038419,Rame kholsa,Albizia spp,,20,16,4
27.44549055,85.04120007,306407,3037305,Rame kholsa,Alnus nepalensis,,49,24,1
27.44540722,85.04138317,306425,3037295,Rame kholsa,Anogeissus latifolia,,73,22,3
27.44244149,85.03839373,306124,3036971,Rame kholsa,Bombax ceiba,,70,16,4
27.44251307,85.03731512,306018,3036981,Rame kholsa,Cedrela toona,,97,23,3
27.44645652,85.04765388,307047,3037402,Rame kholsa,Abies spp,,50,30,3
27.44974392,85.04038769,306334,3037777,Rame kholsa,Acacia catechu,,30,23,3
27.44875299,85.04663194,306950,3037658,Rame kholsa,Adina cardifolia,,27,21,1
27.44774137,85.03853914,306148,3037558,Rame kholsa,Albizia spp,,95,18,1
27.4507537,85.04047011,306344,3037889,Rame kholsa,Alnus nepalensis,,59,29,2
27.44730322,85.04735702,307019,3037496,Rame kholsa,Anogeissus latifolia,,10,19,4
27.44584109,85.04244225,306531,3037342,Rame kholsa,Bombax ceiba,,30,27,4
27.44239086,85.03987863,306271,3036963,Rame kholsa,Abies spp,,41,29,4
27.44308904,85.03720229,306008,3037045,Rame kholsa,Acacia catechu,,12,21,2
27.43892589,85.03680099,305961,3036584,Rame kholsa,Adina cardifolia,,100,16,4
27.45406348,85.04443792,306742,3038249,Rame kholsa,Albizia spp,,16,25,3
27.44911083,85.04594525,306883,3037698,Rame kholsa,Alnus nepalensis,,27,20,4
27.45402473,85.04210251,306511,3038249,Rame kholsa,Anogeissus latifolia,,92,15,1
27.45551257,85.04196653,306500,3038414,Rame kholsa,Bombax ceiba,,99,23,1
27.4478293,85.04388781,306677,3037560,Rame kholsa,Cedrela toona,,13,23,2
27.4434951,85.03755578,306043,3037089,Rame kholsa,Dalbergia sissoo,,97,27,2
27.45132223,85.0446618,306760,3037945,Rame kholsa,Eugenia Jambolana,,17,18,1
27.44395379,85.04530025,306810,3037128,Rame kholsa,Hymenodictyon excelsum,,43,20,4
27.45039058,85.04349202,306642,3037844,Rame kholsa,Lagerstroemia parviflora,,39,27,2
27.44942267,85.04632391,306921,3037732,Rame kholsa,Michelia champaca,,69,24,1
27.44985506,85.04661646,306950,3037780,Rame kholsa,Pinus roxburghii,,93,17,1
27.4532408,85.0439154,306689,3038159,Rame kholsa,Pinus wallichiana,,86,24,1
27.45185361,85.0452319,306817,3038003,Rame kholsa,Quercus spp,,37,23,4
27.44337675,85.04666946,306944,3037062,Rame kholsa,Schima wallichii,,21,15,3
27.44733238,85.0441398,306701,3037504,Rame kholsa,Shorea robusta,,76,29,2
27.44933063,85.03961274,306257,3037733,Rame kholsa,Terminalia alata,,11,25,1
27.4461475,85.04560302,306844,3037371,Rame kholsa,Trewia nudiflora,,35,25,4
27.43733245,85.03664812,305943,3036408,Rame kholsa,Tsuga spp,,74,20,1
27.44702317,85.04490486,306776,3037469,Rame kholsa,Terai spp,,54,15,1
27.44976108,85.04356418,306648,3037774,Rame kholsa,Hill spp,,72,26,1
27.45040754,85.03985512,306283,3037852,Rame kholsa,Abies spp,,94,20,2
27.4495749,85.03983417,306279,3037759,Rame kholsa,Acacia catechu,,71,22,2
27.45441304,85.04295723,306596,3038291,Rame kholsa,Adina cardifolia,,28,17,4
27.44855511,85.04171344,306463,3037643,Rame kholsa,Albizia spp,,44,30,1
27.44671015,85.04310347,306597,3037437,Rame kholsa,Alnus nepalensis,,47,29,3
27.44466586,85.04676454,306956,3037205,Rame kholsa,Anogeissus latifolia,,29,30,4
27.45193231,85.04509169,306803,3038012,Rame kholsa,Bombax ceiba,,13,22,4
27.44246196,85.0375784,306044,3036975,Rame kholsa,Cedrela toona,,25,27,4
27.44217871,85.03878449,306163,3036941,Rame kholsa,Dalbergia sissoo,,82,19,4
27.44888573,85.04643201,306930,3037673,Rame kholsa,Eugenia Jambolana,,82,25,4
27.44215266,85.03700873,305987,3036941,Rame kholsa,Hymenodictyon excelsum,,88,18,4
27.45299047,85.04284566,306583,3038133,Rame kholsa,Lagerstroemia parviflora,,62,25,2
27.45382712,85.04388273,306687,3038224,Rame kholsa,Michelia champaca,,41,28,4
27.44568722,85.03906232,306196,3037330,Rame kholsa,Pinus roxburghii,,74,22,2
27.44624213,85.04519661,306804,3037382,Rame kholsa,Pinus wallichiana,,35,29,2
27.44811773,85.03988041,306281,3037598,Rame kholsa,Quercus spp,,81,25,4
27.44337281,85.03891031,306177,3037074,Rame kholsa,Schima wallichii,,53,18,4
27.44517827,85.04411469,306695,3037265,Rame kholsa,Shorea robusta,,45,23,3
27.44815952,85.04313828,306603,3037597,Rame kholsa,Terminalia alata,,73,24,2
27.44460315,85.04158177,306443,3037206,Rame kholsa,Trewia nudiflora,,73,26,3
27.45196144,85.04298052,306594,3038019,Rame kholsa,Tsuga spp,,59,27,3
27.45327624,85.04477581,306774,3038162,Rame kholsa,Terai spp,,90,23,2
27.44938358,85.03987683,306283,3037738,Rame kholsa,Hill spp,,70,29,2
27.44644764,85.04267909,306555,3037408,Rame kholsa,Abies spp,,57,27,4
27.45257458,85.04012574,306313,3038091,Rame kholsa,Acacia catechu,,65,19,4
27.44730221,85.04557768,306843,3037499,Rame kholsa,Adina cardifolia,,56,21,2
27.44782648,85.04197752,306488,3037562,Rame kholsa,Albizia spp,,38,29,2
27.44755355,85.04385474,306673,3037529,Rame kholsa,Alnus nepalensis,,86,20,4
27.45086738,85.04373705,306667,3037896,Rame kholsa,Anogeissus latifolia,,29,23,3
27.44941317,85.04462849,306753,3037734,Rame kholsa,Bombax ceiba,,41,24,2
27.44274582,85.04046296,306329,3037002,Rame kholsa,Cedrela toona,,76,23,2
27.43759465,85.0361959,305899,3036438,Rame kholsa,Abies spp,,82,16,1
27.44645751,85.04778878,307060,3037402,Rame kholsa,Acacia catechu,,85,16,4
27.4376048,85.03683014,305961,3036438,Rame kholsa,Adina cardifolia,,49,15,2
27.45507281,85.04217836,306521,3038365,Rame kholsa,Albizia spp,,48,23,4
27.45064755,85.04487278,306779,3037870,Rame kholsa,Alnus nepalensis,,100,15,3
27.44698175,85.04122602,306412,3037470,Rame kholsa,Anogeissus latifolia,,42,20,1
27.45125349,85.04149271,306446,3037943,Rame kholsa,Bombax ceiba,,45,23,1
27.44461241,85.03928756,306217,3037210,Rame kholsa,Cedrela toona,,37,17,4
27.44345229,85.03945583,306231,3037081,Rame kholsa,Dalbergia sissoo,,20,25,1
27.44740115,85.04566631,306852,3037509,Rame kholsa,Eugenia Jambolana,,96,22,3
27.45444985,85.04395093,306695,3038293,Rame kholsa,Hymenodictyon excelsum,,12,21,4
27.4445664,85.04408847,306691,3037198,Rame kholsa,Lagerstroemia parviflora,,94,21,1
27.44747414,85.03989409,306282,3037526,Rame kholsa,Michelia champaca,,84,16,2
27.4455752,85.04195838,306482,3037313,Rame kholsa,Pinus roxburghii,,26,16,1
27.44470611,85.03908433,306197,3037221,Rame kholsa,Pinus wallichiana,,73,17,3
27.44588449,85.03976283,306266,3037351,Rame kholsa,Quercus spp,,84,20,3
27.45482703,85.04215924,306518,3038338,Rame kholsa,Schima wallichii,,50,18,2
27.44785954,85.04733893,307018,3037558,Rame kholsa,Shorea robusta,,12,25,1
27.44780808,85.04092566,306384,3037562,Rame kholsa,Terminalia alata,,69,15,4
27.44812138,85.04724925,307010,3037587,Rame kholsa,Trewia nudiflora,,47,18,3
27.45420256,85.04254386,306555,3038268,Rame kholsa,Tsuga spp,,42,30,1
27.44069215,85.03711591,305995,3036779,Rame kholsa,Terai spp,,72,23,4
27.44708469,85.04325934,306613,3037478,Rame kholsa,Hill spp,,11,15,4
27.44969535,85.03916317,306213,3037774,Rame kholsa,Abies spp,,36,26,2
27.45002192,85.04099146,306394,3037807,Rame kholsa,Acacia catechu,,18,17,1
27.44524299,85.04210082,306496,3037276,Rame kholsa,Adina cardifolia,,10,27,3
27.44876065,85.03911671,306207,3037670,Rame kholsa,Albizia spp,,12,20,1
27.4517057,85.04218383,306515,3037992,Rame kholsa,Alnus nepalensis,,50,28,3
27.45336313,85.04127343,306428,3038177,Rame kholsa,Anogeissus latifolia,,86,17,3
27.44378594,85.04080051,306365,3037116,Rame kholsa,Bombax ceiba,,61,25,1
27.44347152,85.0415329,306437,3037080,Rame kholsa,Cedrela toona,,47,20,3
27.45050725,85.04034961,306332,3037862,Rame kholsa,Dalbergia sissoo,,22,17,3
27.44646527,85.04289335,306576,3037410,Rame kholsa,Eugenia Jambolana,,78,21,2
27.4517386,85.04397185,306692,3037993,Rame kholsa,Hymenodictyon excelsum,,53,15,3
27.44674313,85.03760251,306054,3037449,Rame kholsa,Lagerstroemia parviflora,,98,24,3
27.44033192,85.03764695,306047,3036739,Rame kholsa,Michelia champaca,,48,30,3
27.4468874,85.04580353,306865,3037452,Rame kholsa,Pinus roxburghii,,28,23,3
27.44649389,85.04767531,307049,3037406,Rame kholsa,Pinus wallichiana,,51,20,4
27.44399636,85.04188141,306472,3037138,Rame kholsa,Quercus spp,,22,23,1
27.44699718,85.04679745,306963,3037463,Rame kholsa,Schima wallichii,,45,28,2
27.45262214,85.0409658,306396,3038095,Rame kholsa,Shorea robusta,,20,30,1
27.44810364,85.03845271,306140,3037598,Rame kholsa,Terminalia alata,,28,15,4
27.44685905,85.04795404,307077,3037446,Rame kholsa,Trewia nudiflora,,76,27,1
27.44203169,85.03745269,306031,3036927,Rame kholsa,Tsuga spp,,42,27,1
27.44808094,85.04643474,306929,3037583,Rame kholsa,Terai spp,,100,30,1
27.44941307,85.04093366,306388,3037740,Rame kholsa,Hill spp,,75,21,1
27.44835917,85.0429565,306586,3037620,Rame kholsa,Abies spp,,27,23,1
